country,,,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
QATAR,,,,371,377,460,624,670,730,800,870,907,960,"1,020"
SAUDI ARABIA,,,,"3,580","3,730","3,990","4,230","4,510","4,870","5,280","5,703","5,950","6,240","6,600"
SINGAPORE,,,,616,657,707,749,778,798,810,826,829,827,813
SOUTH KOREA,,,,"15,397","15,895","16,428","16,794","17,325","17,942","18,437","18,870","19,401","20,118","20,990"
SRI LANKA,,,,900,905,920,927,943,991,"1,101","1,185","1,245","1,314","1,470"
SYRIA,,,,"3,580","3,730","3,990","4,230","4,510","4,870","5,280","5,703","5,950","6,420","6,900"
TAIWAN,,,,"6,652","6,698","6,716","6,675","6,719","6,826","7,003","7,146","7,307","7,493","7,677"
THAILAND,,,,"9,539","8,805","9,194","9,646","10,085","10,600","11,532","12,749","14,005","14,824","15,491"
UNITED ARAB EMIRATES,,,,865,878,"1,080","1,408","1,429","1,440","1,563","1,681","1,827","1,960","2,140"
VIETNAM,,,,623,631,900,"1,309","1,410","1,536","1,690","1,840","1,950","2,060","2,170"
YEMEN,,,,608,629,674,702,731,759,800,850,906,950,"1,000"
ALGERIA,,,,"2,924","3,108","3,312","3,545","3,847","3,981","4,130","4,533","4,835","5,133","5,570"
ANGOLA,,,,332,335,490,690,700,720,740,770,803,840,880
BENIN,,,,156,159,166,191,199,207,211,220,231,241,252
BOTSWANA,,,,164,176,187,206,227,286,285,328,345,364,392
BURKINA FASO,,,,122,129,149,155,161,167,200,211,232,271,297
BURUNDI,,,,36,37,46,50,50,52,54,60,61,62,63
CAMEROON,,,,234,240,247,260,270,281,293,310,322,334,347
CONGO KINSHASA ,,,,"1,583","1,603","1,615","1,622","1,626","1,631","1,669","1,723","1,760","1,830","1,900"
EGYPT,,,,"2,920","3,085","3,251","3,456","3,743","4,213","4,524","4,669","4,854","5,126","5,734"
ETHIOPIA,,,,128,127,128,131,130,132,137,142,151,153,155
GHANA,,,,159,411,570,780,710,693,730,770,820,850,890
IVORY COAST,,,,612,642,671,713,742,785,816,840,870,900,940
KENYA,,,,640,688,745,803,896,966,"1,018","1,089","1,175","1,283","1,381"
LIBERIA,,,,50,55,56,51,52,54,56,57,61,62,63
LIBYA,,,,"1,479","1,747","1,800","1,830","1,850","2,122","2,229","2,350","2,476","2,610","2,740"
MADAGASCAR,,,,141,144,270,511,511,519,537,554,582,630,660
MALAWI,,,,69,71,94,123,124,126,129,128,132,136,139
MALI,,,,109,121,128,133,139,150,161,170,181,192,203
MAURITANIA,,,,30,31,32,33,34,35,36,36,40,40,41
MAURITIUS,,,,125,132,141,152,161,171,180,192,207,221,237
MOROCCO,,,,"1,979","2,122","2,259","2,409","2,596","2,760","2,920","3,088","3,248","3,397","3,570"
MOZAMBIQUE,,,,171,193,213,213,276,315,324,340,364,377,400
NIGERIA,,,,"1,747","2,829","2,860","2,920","2,967","3,090","3,210","3,330","3,440","3,590","3,750"
SENEGAL,,,,380,391,401,448,463,479,537,582,605,630,660
SOUTH AFRICA,,,,"6,872","7,372","7,803","8,017","8,221","8,157","8,404","8,700","9,013","9,319","9,600"
SUDAN,,,,86,88,90,90,93,94,96,99,107,109,111
TANZANIA,,,,82,90,160,312,317,321,330,340,345,370,380
TOGO,,,,148,148,153,154,155,158,162,168,174,186,198
TUNISIA,,,,974,"1,000","1,050","1,177","1,220","1,259","1,269","1,279","1,330","1,390","1,450"
UGANDA,,,,228,235,303,313,356,366,380,400,430,460,490
ZAMBIA,,,,367,377,280,218,298,310,320,330,343,360,370
ZIMBABWE,,,,679,690,700,710,721,747,780,810,853,900,940
