year,nonth,state,county,rate
2016,November,Minnesota,Freeborn County,3.7
2016,November,Minnesota,Traverse County,2.7
2016,November,Minnesota,Clay County,2.5
2016,November,Minnesota,Kandiyohi County,3.0
2016,November,Minnesota,Washington County,2.8
2016,November,Minnesota,Redwood County,3.3
2016,November,Minnesota,Koochiching County,9.1
2016,November,Minnesota,Rock County,1.8
2016,November,Minnesota,Pennington County,4.5
2016,November,Minnesota,Becker County,3.8
2016,November,Minnesota,Mille Lacs County,5.0
2016,November,Minnesota,Winona County,2.9
2016,November,Minnesota,Stevens County,2.4
2016,November,Minnesota,Renville County,3.9
2016,November,Minnesota,Nicollet County,2.3
2016,November,Minnesota,Polk County,3.2
2016,November,Minnesota,Morrison County,4.8
2016,November,Minnesota,Wright County,3.1
2016,November,Minnesota,Ramsey County,3.1
2016,November,Minnesota,Yellow Medicine County,3.0
2016,November,Minnesota,Grant County,3.7
2016,November,Minnesota,Jackson County,3.0
2016,November,Minnesota,Cass County,6.9
2016,November,Minnesota,Aitkin County,5.7
2016,November,Minnesota,Dodge County,2.8
2016,November,Minnesota,Big Stone County,4.0
2016,November,Minnesota,Houston County,3.0
2016,November,Minnesota,Le Sueur County,3.7
2016,November,Minnesota,Carlton County,4.6
2016,November,Minnesota,Rice County,2.7
2016,November,Minnesota,Cook County,4.6
2016,November,Illinois,Monroe County,3.5
2016,November,Illinois,Madison County,5.0
2016,November,Illinois,Bond County,4.4
2016,November,Illinois,Adams County,4.3
2016,November,Illinois,Macoupin County,4.9
2016,November,Illinois,Marion County,5.5
2016,November,Illinois,Knox County,5.4
2016,November,Illinois,Williamson County,5.4
2016,November,Illinois,Gallatin County,6.5
2016,November,Illinois,Champaign County,4.5
2016,November,Illinois,Coles County,5.3
2016,November,Illinois,Hardin County,7.5
2016,November,Illinois,Pike County,4.5
2016,November,Illinois,Whiteside County,5.2
2016,November,Illinois,Saline County,6.7
2016,November,Illinois,Logan County,4.8
2016,November,Illinois,De Witt County,5.1
2016,November,Illinois,Lawrence County,6.9
2016,November,Illinois,Boone County,5.3
2016,November,Illinois,Edgar County,6.1
2016,November,Illinois,Clinton County,3.8
2016,November,Illinois,Brown County,3.2
2016,November,Illinois,Clark County,5.0
2016,November,Illinois,Macon County,5.9
2016,November,Illinois,Dupage County,4.4
2016,November,Illinois,Christian County,5.9
2016,November,Illinois,Ford County,4.7
2016,November,Illinois,Piatt County,4.4
2016,November,Illinois,Scott County,4.9
2016,November,Illinois,White County,5.3
2016,November,Illinois,Moultrie County,4.1
2016,November,Illinois,Kane County,4.8
2016,November,Illinois,Bureau County,5.3
2016,November,Illinois,Vermilion County,6.4
2016,November,Illinois,Livingston County,4.6
2016,November,Illinois,Effingham County,4.0
2016,November,Illinois,Mason County,6.0
2016,November,Illinois,Jefferson County,5.7
2016,November,Illinois,Pope County,6.5
2016,November,Illinois,Marshall County,5.8
2016,November,Illinois,Pulaski County,8.4
2016,November,Illinois,Ogle County,4.8
2016,November,Illinois,Jasper County,5.5
2016,November,Illinois,Winnebago County,5.9
2016,November,Illinois,Stephenson County,5.2
2016,November,Illinois,Morgan County,4.4
2016,November,Illinois,Perry County,6.3
2016,November,Illinois,Wabash County,5.7
2016,November,Illinois,La Salle County,5.6
2016,November,Illinois,Lake County,4.6
2016,November,Illinois,Douglas County,4.3
2016,November,Illinois,Randolph County,4.4
2016,November,Illinois,Fayette County,5.7
2016,November,Illinois,Saint Clair County,5.2
2016,November,Illinois,Shelby County,5.5
2016,November,Illinois,Iroquois County,4.9
2016,November,Illinois,Warren County,4.6
2016,November,Illinois,Edwards County,4.8
2016,November,Illinois,Stark County,6.7
2016,November,Illinois,Lee County,4.4
2016,November,Illinois,Menard County,4.2
2016,November,Illinois,Fulton County,6.5
2016,November,Illinois,McDonough County,5.1
2016,November,Illinois,Woodford County,4.7
2016,November,Illinois,McLean County,4.5
2016,November,Illinois,Franklin County,7.1
2016,November,Illinois,Mercer County,5.1
2016,November,Illinois,Johnson County,7.8
2016,November,Illinois,Clay County,5.6
2016,November,Illinois,Henry County,5.6
2016,November,Illinois,Schuyler County,5.0
2016,November,Illinois,Cumberland County,4.8
2016,November,Illinois,Washington County,3.4
2016,November,Illinois,Putnam County,4.6
2016,November,Illinois,Kendall County,4.8
2016,November,Illinois,Crawford County,5.2
2016,November,Illinois,Montgomery County,6.3
2016,November,Illinois,Alexander County,7.7
2016,November,Illinois,Wayne County,7.3
2016,November,Illinois,Calhoun County,5.2
2016,November,Illinois,Kankakee County,5.6
2016,November,Illinois,Dekalb County,4.6
2016,November,Illinois,Tazewell County,5.6
2016,November,Illinois,Henderson County,4.8
2016,November,Illinois,Grundy County,5.8
2016,November,Illinois,Jersey County,5.0
2016,November,Illinois,Carroll County,4.4
2016,November,Illinois,Jackson County,4.9
2016,November,Illinois,McHenry County,4.8
2016,November,Illinois,Cass County,5.2
2016,November,Illinois,Greene County,5.1
2016,November,Illinois,Sangamon County,4.3
2016,November,Illinois,Hancock County,5.7
2016,November,Illinois,Union County,6.4
2016,November,Illinois,Richland County,5.5
2016,November,Illinois,Peoria County,6.1
2016,November,Illinois,Massac County,6.2
2016,November,Illinois,Cook County,5.7
2016,November,Illinois,Jo Daviess County,4.2
2016,November,Illinois,Hamilton County,5.0
2016,November,Illinois,Will County,5.4
2016,November,Illinois,Rock Island County,5.5
2016,November,Arkansas,Newton County,3.5
2016,November,Arkansas,Monroe County,4.9
2016,November,Arkansas,Polk County,4.3
2016,November,Arkansas,Calhoun County,3.7
2016,November,Arkansas,Hot Spring County,3.5
2016,November,Arkansas,Jefferson County,4.8
2016,November,Arkansas,Madison County,2.8
2016,November,Arkansas,Lonoke County,3.1
2016,November,Arkansas,Jackson County,5.4
2016,November,Arkansas,Craighead County,2.8
2016,November,Arkansas,Pulaski County,3.2
2016,November,Arkansas,Cross County,4.1
2016,November,Arkansas,Saint Francis County,4.7
2016,November,Arkansas,Conway County,5.0
2016,November,Arkansas,Arkansas County,3.4
2016,November,Arkansas,Lee County,4.3
2016,November,Arkansas,Stone County,4.9
2016,November,Arkansas,Lafayette County,5.3
2016,November,Arkansas,Columbia County,5.2
2016,November,Arkansas,Saline County,2.9
2016,November,Arkansas,Fulton County,3.8
2016,November,Arkansas,Crittenden County,4.2
2016,November,Arkansas,Hempstead County,3.4
2016,November,Arkansas,Prairie County,3.5
2016,November,Arkansas,Lincoln County,4.4
2016,November,Arkansas,Woodruff County,4.7
2016,November,Arkansas,Ashley County,5.8
2016,November,Arkansas,Pike County,4.1
2016,November,Arkansas,Marion County,3.8
2016,November,Arkansas,Perry County,4.2
2016,November,Arkansas,Bradley County,4.7
2016,November,Arkansas,Franklin County,3.5
2016,November,Arkansas,Logan County,3.8
2016,November,Arkansas,Phillips County,5.1
2016,November,Arkansas,Sharp County,5.0
2016,November,Arkansas,Chicot County,6.1
2016,November,Arkansas,Clay County,4.8
2016,November,Arkansas,Howard County,3.0
2016,November,Arkansas,Crawford County,3.4
2016,November,Arkansas,Boone County,3.2
2016,November,Arkansas,Greene County,4.0
2016,November,Arkansas,Izard County,5.1
2016,November,Arkansas,Little River County,4.4
2016,November,Arkansas,Cleveland County,4.0
2016,November,Arkansas,Benton County,2.7
2016,November,Arkansas,Lawrence County,3.7
2016,November,Arkansas,Montgomery County,4.9
2016,November,Arkansas,Johnson County,4.1
2016,November,Arkansas,Washington County,2.4
2016,November,Arkansas,Clark County,3.7
2016,November,Arkansas,Sevier County,4.7
2016,November,Arkansas,Baxter County,4.0
2016,November,Arkansas,Independence County,4.3
2016,November,Arkansas,Pope County,3.9
2016,November,Arkansas,Van Buren County,5.9
2016,November,Arkansas,Garland County,4.0
2016,November,Arkansas,Yell County,3.9
2016,November,Arkansas,Poinsett County,3.7
2016,November,Arkansas,Randolph County,4.2
2016,November,Arkansas,Ouachita County,4.6
2016,November,Arkansas,Carroll County,3.1
2016,November,Arkansas,Nevada County,3.2
2016,November,Arkansas,Drew County,5.0
2016,November,Arkansas,Desha County,4.8
2016,November,Arkansas,Union County,4.9
2016,November,Arkansas,White County,4.3
2016,November,Arkansas,Grant County,3.2
2016,November,Arkansas,Sebastian County,3.3
2016,November,Arkansas,Scott County,3.1
2016,November,Arkansas,Mississippi County,5.7
2016,November,Arkansas,Dallas County,4.4
2016,November,Arkansas,Searcy County,4.1
2016,November,Arkansas,Miller County,4.0
2016,November,Arkansas,Faulkner County,3.3
2016,November,Arkansas,Cleburne County,5.0
2016,November,New Mexico,Torrance County,8.7
2016,November,New Mexico,Eddy County,6.5
2016,November,New Mexico,McKinley County,8.6
2016,November,New Mexico,Santa Fe County,5.1
2016,November,New Mexico,San Juan County,7.9
2016,November,New Mexico,San Miguel County,7.3
2016,November,New Mexico,Bernalillo County,5.6
2016,November,New Mexico,Curry County,5.1
2016,November,New Mexico,Roosevelt County,5.4
2016,November,New Mexico,Debaca County,4.4
2016,November,New Mexico,Luna County,15.6
2016,November,New Mexico,Lincoln County,6.0
2016,November,New Mexico,Catron County,8.6
2016,November,New Mexico,Hidalgo County,5.0
2016,November,New Mexico,Sierra County,7.8
2016,November,New Mexico,Quay County,6.4
2016,November,New Mexico,Colfax County,6.4
2016,November,New Mexico,Otero County,6.0
2016,November,New Mexico,Valencia County,6.7
2016,November,New Mexico,Socorro County,6.9
2016,November,New Mexico,Lea County,8.8
2016,November,New Mexico,Cibola County,8.0
2016,November,New Mexico,Taos County,8.0
2016,November,New Mexico,Harding County,5.9
2016,November,New Mexico,Mora County,8.3
2016,November,New Mexico,Rio Arriba County,6.9
2016,November,New Mexico,Dona Ana County,6.7
2016,November,New Mexico,Union County,4.4
2016,November,New Mexico,Chaves County,6.6
2016,November,New Mexico,Los Alamos County,4.2
2016,November,New Mexico,Grant County,6.4
2016,November,New Mexico,Sandoval County,6.4
2016,November,New Mexico,Guadalupe County,7.2
2016,November,Indiana,Monroe County,4.0
2016,November,Indiana,Madison County,4.2
2016,November,Indiana,Vermillion County,5.2
2016,November,Indiana,Fountain County,4.8
2016,November,Indiana,Adams County,3.0
2016,November,Indiana,Marion County,4.0
2016,November,Indiana,Knox County,3.8
2016,November,Indiana,Dearborn County,4.0
2016,November,Indiana,Tipton County,3.2
2016,November,Indiana,Pike County,4.1
2016,November,Indiana,Vigo County,4.6
2016,November,Indiana,Lawrence County,5.0
2016,November,Indiana,Orange County,4.4
2016,November,Indiana,Steuben County,3.4
2016,November,Indiana,Boone County,3.1
2016,November,Indiana,Benton County,3.7
2016,November,Indiana,Jennings County,4.1
2016,November,Indiana,Brown County,3.2
2016,November,Indiana,Clark County,3.8
2016,November,Indiana,Gibson County,3.2
2016,November,Indiana,Spencer County,3.9
2016,November,Indiana,Hendricks County,3.2
2016,November,Indiana,Scott County,4.2
2016,November,Indiana,White County,4.1
2016,November,Indiana,Grant County,4.4
2016,November,Indiana,Starke County,4.7
2016,November,Indiana,Howard County,4.1
2016,November,Indiana,Rush County,3.4
2016,November,Indiana,Owen County,4.4
2016,November,Indiana,Warrick County,3.9
2016,November,Indiana,Jefferson County,4.3
2016,November,Indiana,Marshall County,3.4
2016,November,Indiana,Pulaski County,4.2
2016,November,Indiana,Saint Joseph County,4.2
2016,November,Indiana,Jasper County,4.3
2016,November,Indiana,Switzerland County,4.2
2016,November,Indiana,Morgan County,3.6
2016,November,Indiana,Perry County,4.0
2016,November,Indiana,Wabash County,3.7
2016,November,Indiana,Vanderburgh County,3.8
2016,November,Indiana,Elkhart County,3.3
2016,November,Indiana,Whitley County,3.4
2016,November,Indiana,Lake County,5.4
2016,November,Indiana,Noble County,3.6
2016,November,Indiana,Blackford County,4.8
2016,November,Indiana,Randolph County,3.9
2016,November,Indiana,Fayette County,5.3
2016,November,Indiana,DeKalb County,3.5
2016,November,Indiana,Parke County,4.6
2016,November,Indiana,Shelby County,3.4
2016,November,Indiana,Decatur County,3.1
2016,November,Indiana,Sullivan County,5.0
2016,November,Indiana,Warren County,4.0
2016,November,Indiana,Bartholomew County,2.9
2016,November,Indiana,Wayne County,4.3
2016,November,Indiana,Martin County,3.7
2016,November,Indiana,Huntington County,3.5
2016,November,Indiana,Fulton County,4.1
2016,November,Indiana,Dubois County,2.8
2016,November,Indiana,Delaware County,4.6
2016,November,Indiana,Franklin County,3.7
2016,November,Indiana,Allen County,3.7
2016,November,Indiana,Johnson County,3.2
2016,November,Indiana,Clay County,4.1
2016,November,Indiana,Henry County,4.1
2016,November,Indiana,Crawford County,4.9
2016,November,Indiana,Washington County,3.9
2016,November,Indiana,Harrison County,3.8
2016,November,Indiana,Putnam County,3.8
2016,November,Indiana,Floyd County,3.7
2016,November,Indiana,Wells County,3.1
2016,November,Indiana,Daviess County,3.3
2016,November,Indiana,Kosciusko County,3.4
2016,November,Indiana,Montgomery County,3.5
2016,November,Indiana,Newton County,5.1
2016,November,Indiana,Tippecanoe County,3.4
2016,November,Indiana,Miami County,4.1
2016,November,Indiana,Hancock County,3.3
2016,November,Indiana,Carroll County,3.8
2016,November,Indiana,LaGrange County,3.2
2016,November,Indiana,Jackson County,3.3
2016,November,Indiana,Posey County,3.8
2016,November,Indiana,Ohio County,4.4
2016,November,Indiana,Cass County,4.4
2016,November,Indiana,Greene County,5.4
2016,November,Indiana,LaPorte County,5.1
2016,November,Indiana,Clinton County,3.4
2016,November,Indiana,Union County,3.5
2016,November,Indiana,Porter County,4.3
2016,November,Indiana,Jay County,4.0
2016,November,Indiana,Hamilton County,3.0
2016,November,Indiana,Ripley County,3.9
2016,November,Maryland,Cecil County,4.5
2016,November,Maryland,Anne Arundel County,3.5
2016,November,Maryland,Calvert County,3.4
2016,November,Maryland,Prince George's County,4.1
2016,November,Maryland,Talbot County,4.2
2016,November,Maryland,Charles County,3.9
2016,November,Maryland,Carroll County,3.2
2016,November,Maryland,Dorchester County,5.8
2016,November,Maryland,Allegany County,5.2
2016,November,Maryland,Frederick County,3.4
2016,November,Maryland,Montgomery County,3.1
2016,November,Maryland,Saint Marys County,3.6
2016,November,Maryland,Washington County,4.6
2016,November,Maryland,Baltimore County,4.3
2016,November,Maryland,Queen Annes County,3.5
2016,November,Maryland,Garrett County,4.8
2016,November,Maryland,Worcester County,10.0
2016,November,Maryland,Baltimore City,5.9
2016,November,Maryland,Wicomico County,6.0
2016,November,Maryland,Howard County,3.0
2016,November,Maryland,Harford County,3.7
2016,November,Maryland,Kent County,4.4
2016,November,Maryland,Caroline County,4.6
2016,November,Maryland,Somerset County,6.6
2016,November,Idaho,Jerome County,3.2
2016,November,Idaho,Jefferson County,3.0
2016,November,Idaho,Bonner County,5.4
2016,November,Idaho,Owyhee County,4.5
2016,November,Idaho,Minidoka County,3.1
2016,November,Idaho,Payette County,4.2
2016,November,Idaho,Caribou County,3.8
2016,November,Idaho,Adams County,6.3
2016,November,Idaho,Lemhi County,5.9
2016,November,Idaho,Blaine County,3.4
2016,November,Idaho,Valley County,6.0
2016,November,Idaho,Latah County,2.9
2016,November,Idaho,Kootenai County,4.6
2016,November,Idaho,Lewis County,6.5
2016,November,Idaho,Lincoln County,4.0
2016,November,Idaho,Shoshone County,7.4
2016,November,Idaho,Franklin County,3.1
2016,November,Idaho,Washington County,5.2
2016,November,Idaho,Cassia County,2.8
2016,November,Idaho,Ada County,3.4
2016,November,Idaho,Custer County,5.3
2016,November,Idaho,Benewah County,6.1
2016,November,Idaho,Madison County,2.3
2016,November,Idaho,Power County,3.4
2016,November,Idaho,Teton County,4.7
2016,November,Idaho,Clark County,4.8
2016,November,Idaho,Idaho County,5.6
2016,November,Idaho,Bear Lake County,4.1
2016,November,Idaho,Gem County,4.3
2016,November,Idaho,Twin Falls County,3.3
2016,November,Idaho,Gooding County,2.7
2016,November,Idaho,Elmore County,4.1
2016,November,Idaho,Bingham County,3.5
2016,November,Idaho,Canyon County,4.2
2016,November,Idaho,Boise County,5.0
