lat,lon,alt,date,device,os,version
40.8125076294,-73.9903640747,45.0777893066,2017-04-06 13:17:52,"iPhone7,2",10.2.1,1.1
40.8298568726,-73.9922561646,81.7889709473,2017-04-06 13:24:16,"iPhone7,2",10.2.1,1.1
40.8399429321,-73.9874191284,83.5265197754,2017-04-06 13:28:32,"iPhone7,2",10.2.1,1.1
40.8581771851,-73.9796447754,92.9858093262,2017-04-06 13:32:48,"iPhone7,2",10.2.1,1.1
40.8614501953,-73.9739151001,83.5423278809,2017-04-06 13:39:12,"iPhone7,2",10.2.1,1.1
40.8873596191,-73.9791793823,2.57650756836,2017-04-06 13:43:28,"iPhone7,2",10.2.1,1.1
40.8904838562,-73.9747619629,11.5077209473,2017-04-06 13:58:24,"iPhone7,2",10.2.1,1.1
40.894859314,-73.9764633179,4.52746582031,2017-04-06 14:02:40,"iPhone7,2",10.2.1,1.1
40.8880844116,-73.9767150879,7.90826416016,2017-04-06 14:06:56,"iPhone7,2",10.2.1,1.1
40.9046630859,-73.9671020508,24.8552951813,2017-04-06 14:13:20,"iPhone7,2",10.2.1,1.1
40.9329986572,-73.9590148926,14.2449054718,2017-04-06 14:17:36,"iPhone7,2",10.2.1,1.1
40.9651031494,-73.9557723999,10.7545127869,2017-04-06 14:21:52,"iPhone7,2",10.2.1,1.1
40.9696464539,-73.9560012817,12.5810623169,2017-04-06 14:28:16,"iPhone7,2",10.2.1,1.1
40.9700469971,-73.9499511719,16.0459041595,2017-04-06 14:56:00,"iPhone7,2",10.2.1,1.1
40.9667892456,-73.9540786743,15.32533741,2017-04-06 15:25:52,"iPhone7,2",10.2.1,1.1
40.937587738,-73.926651001,131.374633789,2017-04-06 15:30:08,"iPhone7,2",10.2.1,1.1
40.8985023499,-73.9393310547,122.234481812,2017-04-06 15:36:32,"iPhone7,2",10.2.1,1.1
40.8621292114,-73.958152771,100.556739807,2017-04-06 15:40:48,"iPhone7,2",10.2.1,1.1
40.8322410583,-73.9725646973,-2.60420250893,2017-04-06 15:45:04,"iPhone7,2",10.2.1,1.1
40.8160858154,-73.9804458618,-0.987268686295,2017-04-06 15:51:28,"iPhone7,2",10.2.1,1.1
40.8134002686,-73.985206604,7.67389297485,2017-04-06 16:08:32,"iPhone7,2",10.2.1,1.1
40.804359436,-73.9904708862,8.87888526917,2017-04-06 16:14:56,"iPhone7,2",10.2.1,1.1
40.8000259399,-73.9946212769,11.2324914932,2017-04-06 17:46:40,"iPhone7,2",10.2.1,1.1
40.7830924988,-74.0063705444,6.20584821701,2017-04-06 17:50:56,"iPhone7,2",10.2.1,1.1
40.7673988342,-74.0182418823,2.06731557846,2017-04-06 17:55:12,"iPhone7,2",10.2.1,1.1
40.7605133057,-74.0271530151,5.62039279938,2017-04-06 18:01:36,"iPhone7,2",10.2.1,1.1
40.7574577332,-73.9946212769,11.1538276672,2017-04-06 18:05:52,"iPhone7,2",10.2.1,1.1
40.7551307678,-73.9883956909,24.5629310608,2017-04-06 18:18:40,"iPhone7,2",10.2.1,1.1
40.7498588562,-73.9879989624,17.4293880463,2017-04-06 18:57:04,"iPhone7,2",10.2.1,1.1
40.7355270386,-73.9907150269,15,2017-04-06 19:03:28,"iPhone7,2",10.2.1,1.1
40.7298278809,-73.9934005737,17.2687988281,2017-04-06 19:07:44,"iPhone7,2",10.2.1,1.1
40.7335510254,-73.9900665283,13.6162109375,2017-04-07 01:10:24,"iPhone7,2",10.2.1,1.1
40.7380332947,-73.9960708618,5.26495361328,2017-04-07 01:16:48,"iPhone7,2",10.2.1,1.1
40.7452507019,-73.9944152832,12.6628417969,2017-04-07 01:21:04,"iPhone7,2",10.2.1,1.1
40.751953125,-73.9987945557,3.03561401367,2017-04-07 01:27:28,"iPhone7,2",10.2.1,1.1
40.7558174133,-73.9952774048,6.01068115234,2017-04-07 01:31:44,"iPhone7,2",10.2.1,1.1
40.7615966797,-74.015083313,3.45962524414,2017-04-07 01:40:16,"iPhone7,2",10.2.1,1.1
40.7664146423,-74.0230789185,20.5603065491,2017-04-07 01:44:32,"iPhone7,2",10.2.1,1.1
40.7682113647,-74.0174636841,-0.0559959411621,2017-04-07 01:50:56,"iPhone7,2",10.2.1,1.1
40.7976646423,-73.9956741333,2.87088012695,2017-04-07 01:55:12,"iPhone7,2",10.2.1,1.1
40.7927398682,-73.9786758423,3.61254882812,2017-04-07 03:56:48,"iPhone7,2",10.2.1,1.1
40.8056678772,-73.9833374023,3.61254882812,2017-04-07 04:05:20,"iPhone7,2",10.2.1,1.1
40.8039093018,-73.9910888672,12.751739502,2017-04-07 04:37:20,"iPhone7,2",10.2.1,1.1
40.8030319214,-73.9928894043,0,2017-04-07 12:45:52,"iPhone7,2",10.2.1,1.1
