Park Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,2017
Christiansted NHS,"105,136","114,743","117,214","119,335","126,962","118,638","109,159","116,817","115,446",,,"96,779"
City of Rocks NRES,"85,893","96,649","92,484","95,764","98,996","94,906","94,825","105,289","107,865",,,"130,276"
Clara Barton NHS,"9,007","10,986","23,741","15,620","25,347","22,737","20,028","2,823",0,,,0
Colonial NHP,"3,332,039","3,324,751","3,459,965","3,414,577","3,274,187","3,168,731","3,335,060","3,343,909","3,352,656",,,"3,333,448"
Colorado NM,"390,972","400,266","433,561","435,460","454,510","409,351","416,862","588,006","391,075",,,"375,035"
Congaree NP,"104,913","122,970","121,208","120,166","109,685","120,340","120,122","87,513","143,843",,,"159,595"
Coronado NMEM,"91,028","106,409","136,284","153,042","97,579","92,936","118,838","132,584","136,075",,,"131,614"
Cowpens NB,"235,176","224,394","226,868","223,923","231,973","216,239","200,836","206,740","213,299",,,"212,692"
Crater Lake NP,"415,686","446,516","448,319","423,551","447,251","523,027","535,508","614,712","756,344",,,"711,749"
Craters of the Moon NM,"227,179","194,046","215,698","198,545","197,529","200,525","214,993","246,826","255,436",,,"285,227"
Cumberland Gap NHP,"843,893","883,663","918,746","828,947","853,998","768,363","879,934","840,601","820,387",,,"737,547"
Cumberland Island NS,"82,812","77,588","91,996","74,279","61,493","51,435","61,401","59,859","61,896",,,"51,937"
Curecanti NRA,"1,007,444","953,169","969,549","924,468","862,612","814,163","931,367","944,742","982,498",,,"1,041,446"
Cuyahoga Valley NP,"2,828,233","2,589,288","2,492,670","2,161,185","2,299,722","2,103,010","2,189,849","2,284,612","2,423,390",,,"2,226,879"
Dayton Aviation Heritage NHP,"53,292","58,301","63,961","68,048","65,999","59,274","57,565","73,588","95,334",,,"99,700"
De Soto NMEM,"265,944","246,608","265,406","355,653","432,981","279,924","342,039","293,647","232,463",,,"233,354"
Death Valley NP,"871,938","828,574","984,775","946,867","984,568","951,972","1,101,312","1,154,843","1,296,283",,,"1,294,827"
Delaware Water Gap NRA,"5,127,074","5,213,030","5,285,761","4,986,700","4,970,802","4,843,350","4,041,672","3,735,134","3,677,744",,,"3,400,944"
Denali NP & PRES,"432,309","358,041","378,855","406,582","388,433","530,922","531,315","560,757","587,412",,,"642,809"
Devils Postpile NM,"134,005","110,212","80,349","97,207","87,845","91,794","114,414","140,313","135,404",,,"109,571"
Devils Tower NM,"336,303","391,023","436,200","395,203","416,994","417,326","440,875","478,833","496,210",,,"499,031"
Dinosaur NM,"201,724","203,862","197,812","213,559","302,858","274,361","250,625","291,799","304,312",,,"315,859"
Dry Tortugas NP,"63,947","52,011","53,890","75,171","60,550","58,401","64,865","70,862","73,661",,,"54,281"
Edgar Allan Poe NHS,"12,961","17,463","16,584","14,711","19,104","5,884","13,701","13,862","14,827",,,"14,878"
Effigy Mounds NM,"68,696","78,177","79,783","82,581","78,540","71,074","77,812","81,901","77,195",,,"67,006"
Eisenhower NHS,"70,757","64,212","61,210","58,022","53,286","59,179","58,240","54,377","55,550",,,"50,597"
El Malpais NM,"115,066","123,290","134,662","105,356","114,678","137,904","164,063","174,433","157,440",,,"161,526"
El Morro NM,"45,178","48,245","52,566","48,332","44,808","40,051","46,256","49,390","59,422",,,"59,013"
Eleanor Roosevelt NHS,"53,632","54,393","53,067","50,074","55,049","43,686","60,456","64,791","63,480",,,"67,621"
Eugene O'Neill NHS,"2,544","3,783","2,445","2,593","2,789","2,929","3,202","3,942","4,287",,,"3,931"
